timestamp,function,phase,has_anomaly,anomaly_score,anomaly_likelihood
0.0000,  0.00000000,0,0,0.025000000000000001,0.15865525400000002
0.0333,  0.20814826,2.094395e-01,1,0.0,0.15865525400000002
0.0667,  0.40720502,4.188790e-01,1,0.0,0.15865525400000002
0.1000,  0.58847024,6.283185e-01,1,0.0,0.11506967000000001
0.1333,  0.74402126,8.377580e-01,1,0.0,0.11506967000000001
0.1667,  0.86705900,1.047198e+00,1,0.0,0.096800485000000047
0.2000,  0.95220518,1.256637e+00,1,0.0,0.096800485000000047
0.2333,  0.99573741,1.466077e+00,1,0.0,0.080756658999999953
0.2667,  0.99575191,1.675516e+00,1,0.0,0.054799291999999999
0.3000,  0.95224680,1.884956e+00,1,0.0,0.054799291999999999
0.3333,  0.86712216,2.094395e+00,1,0.0,0.044565462999999972
0.3667,  0.74409715,2.303835e+00,1,0.0,0.044565462999999972
0.4000,  0.58854743,2.513274e+00,1,0.0,0.044565462999999972
0.4333,  0.40727031,2.722714e+00,1,0.0,0.044565462999999972
0.4667,  0.20818771,2.932153e+00,1,0.025000000000000001,0.054799291999999999
0.5000,  0.00000000,3.141593e+00,0,0.025000000000000001,0.080756658999999953
0.5333, -0.20819427,3.351032e+00,1,0.0,0.080756658999999953
0.5667, -0.40729598,3.560472e+00,1,0.025000000000000001,0.096800485000000047
0.6000, -0.58860307,3.769911e+00,1,0.0,0.096800485000000047
0.6333, -0.74419096,3.979351e+00,1,0.0,0.096800485000000047
0.6667, -0.86725884,4.188790e+00,1,0.0,0.096800485000000047
0.7000, -0.95242694,4.398230e+00,1,0.0,0.096800485000000047
0.7333, -0.99597172,4.607669e+00,1,0.0,0.096800485000000047
0.7667, -0.99598867,4.817109e+00,1,0.0,0.096800485000000047
0.8000, -0.95247557,5.026548e+00,1,0.0,0.080756658999999953
0.8333, -0.86733265,5.235988e+00,1,0.0,0.054799291999999999
0.8667, -0.74427965,5.445427e+00,1,0.0,0.054799291999999999
0.9000, -0.58869327,5.654867e+00,1,0.0,0.044565462999999972
0.9333, -0.40737227,5.864306e+00,1,0.0,0.044565462999999972
0.9667, -0.20824037,6.073746e+00,1,0.0,0.044565462999999972
1.0000, -0.00000000,0,0,0.0,0.044565462999999972
1.0333,  0.20824802,2.094395e-01,1,0.0,0.044565462999999972
1.0667,  0.40740220,4.188790e-01,1,0.0,0.044565462999999972
1.1000,  0.58875815,6.283185e-01,1,0.0,0.044565462999999972
1.1333,  0.74438904,8.377580e-01,1,0.0,0.044565462999999972
1.1667,  0.86749202,1.047198e+00,1,0.0,0.044565462999999972
1.2000,  0.95268563,1.256637e+00,1,0.0,0.044565462999999972
1.2333,  0.99624500,1.466077e+00,1,0.0,0.044565462999999972
1.2667,  0.99626472,1.675516e+00,1,0.0,0.044565462999999972
1.3000,  0.95274223,1.884956e+00,1,0.0,0.044565462999999972
1.3333,  0.86757793,2.094395e+00,1,0.0,0.044565462999999972
1.3667,  0.74449225,2.303835e+00,1,0.0,0.044565462999999972
1.4000,  0.58886312,2.513274e+00,1,0.0,0.044565462999999972
1.4333,  0.40749099,2.722714e+00,1,0.0,0.044565462999999972
1.4667,  0.20830167,2.932153e+00,1,0.0,0.044565462999999972
1.5000,  0.00000000,3.141593e+00,0,0.0,0.044565462999999972
1.5333, -0.20831055,3.351032e+00,1,0.0,0.044565462999999972
1.5667, -0.40752575,3.560472e+00,1,0.0,0.044565462999999972
1.6000, -0.58893848,3.769911e+00,1,0.0,0.044565462999999972
1.6333, -0.74461931,3.979351e+00,1,0.0,0.044565462999999972
1.6667, -0.86776303,4.188790e+00,1,0.0,0.044565462999999972
1.7000, -0.95298620,4.398230e+00,1,0.0,0.044565462999999972
1.7333, -0.99656242,4.607669e+00,1,0.0,0.044565462999999972
1.7667, -0.99658528,4.817109e+00,1,0.0,0.044565462999999972
1.8000, -0.95305180,5.026548e+00,1,0.0,0.044565462999999972
1.8333, -0.86786260,5.235988e+00,1,0.0,0.044565462999999972
1.8667, -0.74473893,5.445427e+00,1,0.0,0.044565462999999972
1.9000, -0.58906015,5.654867e+00,1,0.0,0.044565462999999972
1.9333, -0.40762866,5.864306e+00,1,0.0,0.044565462999999972
1.9667, -0.20837273,6.073746e+00,1,0.0,0.044565462999999972
2.0000, -0.00000000,0,0,0.0,0.044565462999999972
2.0333,  0.20838301,2.094395e-01,1,0.0,0.044565462999999972
2.0667,  0.40766888,4.188790e-01,1,0.0,0.044565462999999972
2.1000,  0.58914733,6.283185e-01,1,0.0,0.044565462999999972
2.1333,  0.74488591,8.377580e-01,1,0.0,0.044565462999999972
2.1667,  0.86807672,1.047198e+00,1,0.025000000000000001,0.054799291999999999
2.2000,  0.95333401,1.256637e+00,1,0.0,0.054799291999999999
2.2333,  0.99692963,1.466077e+00,1,0.0,0.054799291999999999
2.2667,  0.99695602,1.675516e+00,1,0.0,0.054799291999999999
2.3000,  0.95340975,1.884956e+00,1,0.0,0.054799291999999999
2.3333,  0.86819166,2.094395e+00,1,0.0,0.054799291999999999
2.3667,  0.74502400,2.303835e+00,1,0.0,0.054799291999999999
2.4000,  0.58928777,2.513274e+00,1,0.0,0.054799291999999999
2.4333,  0.40778768,2.722714e+00,1,0.0,0.054799291999999999
2.4667,  0.20845479,2.932153e+00,1,0.0,0.054799291999999999
